"Id","Email","IsActive","FirstName","MiddleName","LastName","Notes","Organization","Title","Location","Address1","Address2","City","Region","PostalCode","Country","HomePhone","MobilePhone","OfficePhone","FaxPhone","Password","PasswordHash","PasswordSalt","PasswordHashType","Roles","CreatedDate"
"ce91edac-86f1-42ab-9380-825f9c961272","system@localhost","False","system","middleName","user","notes","organization","title","location","address1","address2","city","region","postalCode","country","homePhone","mobilePhone","officePhone","faxPhone","","","","0","""_systemAdmin""",""
"e8db1686-efb8-4d28-bf7a-af2f6e84bcb1","jaishreeAdmin@gmail.com","True","Jaishree","","Admin","","","","","","","","","","","","","","","","$2a$10$ySylelLhlgIG8AiLab5pzOSp/X6z/icsenGDEDyJ.PFtKNxdki64y","$2a$10$ySylelLhlgIG8AiLab5pzO","1","""Administrator""",""
"7ecba81c-6cb8-4a5a-802a-9cba5407b81d","Newuser6@gmail.com","False","","","","","","","","","","","","","","","","","","","$2a$10$LWTrcRZcn.Y3mTRGPAs1e.SZb1YXr/fiprnWA1a.9eWIp9LVqPDDi","$2a$10$LWTrcRZcn.Y3mTRGPAs1e.","1","""Tester""",""
"9613be66-35ae-4aae-bdcf-048e1c3caf40","APIUPDATEUSER2016/05/04 13:41:26@UPDATEUSER.COM","True","firstName","middleName","lastName","notes","organization","title","location","address1","address2","city","region","postalCode","country","homePhone","mobilePhone","officePhone","faxPhone","","$2a$10$mnP7tYZFSPGJ77wuyHL0GekAycEpw7raazB5t.k8THsdrl0Ou0ErC","$2a$10$mnP7tYZFSPGJ77wuyHL0Ge","1","""Administrator""",""
"49f9ff83-54a7-4d3a-86a8-e9dc83ab1ecc","Newuser7@gmail.com","False","","","","","","","","","","","","","","","","","","","$2a$10$tegg/M4RaACXY367p0oYeu89275o2IHdtmcyytPBVCI1l8QdF2.Aa","$2a$10$tegg/M4RaACXY367p0oYeu","1","""Tester""",""
"82f196ec-145a-43f1-8b9d-357c4beba36c","Newuser8@gmail.com","False","","","","","","","","","","","","","","","","","","","$2a$10$n5ysilNfTJm5ADX42j9GJubrlNAZsEF5YVT8gVaIJIOxDWEo6GVVy","$2a$10$n5ysilNfTJm5ADX42j9GJu","1","""Tester""",""
"818dfea6-5326-475e-8cce-2504a6e2d1da","Newuser10@gmail.com","False","","","","","","","","","","","","","","","","","","","$2a$10$SAUlFTaISZ82iJ8NVGCCPeCMNgxjNA3OvPoV7X/LsCbJn5Sm724/y","$2a$10$SAUlFTaISZ82iJ8NVGCCPe","1","""Tester""",""
"230a192e-02b9-4f14-90e6-3225de5c9462","mm@mobilelabsinc.com","True","Manisha","middleName","Tester2","notes","organization","title","location","address1","address2","city","region","postalCode","country","homePhone","mobilePhone","officePhone","faxPhone","","632F76532EA102F6DC66207AB3DF0FCD89256468AA51D39695A780E11F04DE47","defaa129-22eb-4da0-9daf-e005b2cdb21f","0","",""
"35171480-f429-4fc8-9f22-358017ce580a","mandeep@deviceconnect.com","True","Mandeep","Admin","User","notes","organization","title","location","address1","address2","city","region","postalCode","country","homePhone","mobilePhone","officePhone","faxPhone","","381C26E35B413837E0CD795892AADD1E66100D446264223F1EE064BD479FEF64","47c0d42f-0e43-4a59-948a-e8a80cdf60f5","0","""Administrator""",""
"9ceebb63-5a26-41c6-ada7-57754a662f1b","joetest@deviceconnect.com","True","joetest","middleName","User","notes","organization","title","location","address1","address2","city","region","postalCode","country","homePhone","mobilePhone","officePhone","faxPhone","","A58C992975548E2A55824286931E76828D27F21F39A7E6E4E956F5E8B0D36C6E","6c285456-92a9-498c-b3b5-dfcef2cdd329","0","",""
"83f50c23-888a-4011-801c-9abea334950b","032116_105848Newselenium@deviceconnect.com","True","TestFirstName","","TestLastName","","","","","","","","","","","","","","","","$2a$10$f.h5YkBMxkD4JesEE2789uGOsfsiAXxZhwAyaD8d2hMJIJJY6ZYkG","$2a$10$f.h5YkBMxkD4JesEE2789u","1","",""
